price,price_date,asin,currency,price_type
8.78,05/10/2020,B07QVSST4C,$,amazon
8.78,05/11/2020,B07QVSST4C,$,amazon
8.78,05/12/2020,B07QVSST4C,$,amazon
8.78,05/13/2020,B07QVSST4C,$,amazon
8.78,05/14/2020,B07QVSST4C,$,amazon
8.78,05/15/2020,B07QVSST4C,$,amazon
8.78,05/16/2020,B07QVSST4C,$,amazon
8.78,05/17/2020,B07QVSST4C,$,amazon
8.78,05/18/2020,B07QVSST4C,$,amazon
8.78,05/19/2020,B07QVSST4C,$,amazon
8.78,05/20/2020,B07QVSST4C,$,amazon
8.78,05/21/2020,B07QVSST4C,$,amazon
8.78,05/22/2020,B07QVSST4C,$,amazon
8.78,05/23/2020,B07QVSST4C,$,amazon
8.78,05/24/2020,B07QVSST4C,$,amazon
8.78,05/25/2020,B07QVSST4C,$,amazon
8.78,05/26/2020,B07QVSST4C,$,amazon
8.78,05/27/2020,B07QVSST4C,$,amazon
8.78,05/28/2020,B07QVSST4C,$,amazon
8.78,05/29/2020,B07QVSST4C,$,amazon
8.78,05/30/2020,B07QVSST4C,$,amazon
8.78,05/31/2020,B07QVSST4C,$,amazon
8.78,06/01/2020,B07QVSST4C,$,amazon
8.78,06/02/2020,B07QVSST4C,$,amazon
8.78,06/03/2020,B07QVSST4C,$,amazon
8.78,06/04/2020,B07QVSST4C,$,amazon
8.78,06/05/2020,B07QVSST4C,$,amazon
8.78,06/06/2020,B07QVSST4C,$,amazon
8.78,06/07/2020,B07QVSST4C,$,amazon
8.78,06/08/2020,B07QVSST4C,$,amazon
8.78,06/09/2020,B07QVSST4C,$,amazon
8.42,06/10/2020,B07QVSST4C,$,amazon
8.42,06/11/2020,B07QVSST4C,$,amazon
8.41,06/12/2020,B07QVSST4C,$,amazon
8.42,06/13/2020,B07QVSST4C,$,amazon
